subID,Aprime_A,Aprime_B,Aprime_X,HR_A,HR_B,HR_X,FA_A,FA_B,FA_X
61,0.5759637188208617,0.6740195583043631,0.3958333333333333,0.2857142857142857,0.19047619047619047,0.14285714285714285,0.2222222222222222,0.08064516129032258,0.21428571428571427
62,0.6635174418604651,0.625886524822695,0.7271338724168912,0.5079365079365079,0.38095238095238093,0.42063492063492064,0.31746031746031744,0.25396825396825395,0.16666666666666666
63,0.7398781655997275,0.6274586939417781,0.7543619322278299,0.6031746031746031,0.6507936507936508,0.753968253968254,0.2903225806451613,0.5079365079365079,0.42063492063492064
64,0.5885416666666667,0.6336920248210571,0.5492242013098628,0.5806451612903226,0.5238095238095238,0.488,0.4838709677419355,0.3709677419354839,0.4365079365079365
65,0.4543778801843318,0.5,0.6220381526104417,0.4444444444444444,0.5396825396825397,0.47619047619047616,0.49206349206349204,0.5396825396825397,0.3412698412698413
66,0.42484526967285585,0.5169671261930011,0.5233695652173913,0.5396825396825397,0.6507936507936508,0.47619047619047616,0.6190476190476191,0.6349206349206349,0.4523809523809524
67,0.6505528255528256,0.3782467532467533,0.4293893468263643,0.5,0.5,0.35714285714285715,0.32727272727272727,0.6363636363636364,0.42990654205607476
68,0.6066810344827587,0.6124338624338624,0.5993124522536287,0.12698412698412698,0.2222222222222222,0.0873015873015873,0.07936507936507936,0.14285714285714285,0.05555555555555555
69,0.6690752684498924,0.6881270903010033,0.6533823252308272,0.5396825396825397,0.36507936507936506,0.48412698412698413,0.3387096774193548,0.1746031746031746,0.30952380952380953
71,0.6736111111111112,0.5696327396169326,0.6792346407497397,0.42857142857142855,0.4603174603174603,0.5317460317460317,0.23809523809523808,0.3870967741935484,0.31746031746031744
72,0.6715277777777777,0.6622948704116237,0.6773874957059429,0.6349206349206349,0.5409836065573771,0.6507936507936508,0.42857142857142855,0.3492063492063492,0.4365079365079365
73,0.6299117882919006,0.7033462033462033,0.6020833333333333,0.6825396825396826,0.5873015873015873,0.6349206349206349,0.5396825396825397,0.3333333333333333,0.5238095238095238
74,0.6391006097560975,0.6274586939417781,0.48483928458885917,0.5079365079365079,0.49206349206349204,0.312,0.3492063492063492,0.3492063492063492,0.3253968253968254
75,0.6766091051805337,0.625886524822695,0.5821078431372549,0.4126984126984127,0.38095238095238093,0.25396825396825395,0.2222222222222222,0.25396825396825395,0.19047619047619047
76,0.6789855072463767,0.6559386973180077,0.5574702627121981,0.47619047619047616,0.4603174603174603,0.4126984126984127,0.2698412698412698,0.2857142857142857,0.3548387096774194
77,0.5527649769585253,0.4254385964912281,0.5461323392357875,0.4838709677419355,0.5238095238095238,0.5873015873015873,0.42857142857142855,0.6031746031746031,0.5396825396825397
78,0.6265625,0.5187134502923977,0.6574908088235295,0.6349206349206349,0.7142857142857143,0.6746031746031746,0.49206349206349204,0.6984126984126984,0.49206349206349204
79,0.5980392156862745,0.5,0.6044750231267345,0.2698412698412698,0.20634920634920634,0.373015873015873,0.19047619047619047,0.20634920634920634,0.2698412698412698
80,0.6799999999999999,0.4799749687108886,0.5193236714975845,0.3968253968253968,0.25396825396825395,0.2857142857142857,0.20634920634920634,0.2698412698412698,0.2698412698412698
81,0.6614060258249641,0.4839839839839839,0.7211538461538461,0.6507936507936508,0.5714285714285714,0.7222222222222222,0.4603174603174603,0.5873015873015873,0.4444444444444444
