subid	group	block	blocktrial	trial	img	category	ABX	TR	onset	encoded	rt	recogIdx	recogAcc	recogConf
39	0	2	34	118	deserts41.jpg	deserts	B	107	160.506731	1	0.706536769866943	107	1	4
39	0	2	35	119	fields46.jpg	fields	X	109	163.506654	1	0.586620092391968	321	0	1
39	0	2	36	120	parks48.jpg	parks	X	111	166.506469	1	0.610666751861572	331	1	4
39	0	2	37	121	lakes3.jpg	lakes	X	114	171.006417	1	0.749838590621948	152	1	4
39	0	2	38	122	waterfalls26.jpg	waterfalls	A	116	174.006373	1	1.06076192855835	243	0	2
39	0	2	39	123	bridges55.jpg	bridges	B	119	178.506334	1	0.759853839874268	251	1	1
39	0	2	40	124	lakes55.jpg	lakes	X	121	181.50636	1	0.64186954498291	479	0	4
39	0	2	41	125	lighthouses17.jpg	lighthouses	A	124	186.006298	1	0.659917593002319	206	1	4
39	0	2	42	126	canyons35.jpg	canyons	B	126	189.006195	1	0.665014505386353	400	0	4
39	0	2	43	127	parks43.jpg	parks	X	130	195.006112	1	0.60606861114502	475	1	3
39	0	2	44	128	fields14.jpg	fields	X	133	199.50608	1	0.570149660110474	49	1	2
39	0	2	45	129	forests10.jpg	forests	X	135	202.506045	1	0.665214538574219	230	1	4
39	0	2	46	130	mountains9.jpg	mountains	X	139	208.506009	1	0.987320184707642	217	0	1
39	0	2	47	131	marshes9.jpg	marshes	A	142	213.005903	1	0.597386598587036	180	0	1
39	0	2	48	132	deserts43.jpg	deserts	B	146	219.005778	1	0.58147668838501	61	1	4
39	0	2	49	133	beaches45.jpg	beaches	X	148	222.005743	1	0.690559864044189	255	1	4
39	0	2	50	134	lighthouses26.jpg	lighthouses	A	151	226.505697	1	0.661658763885498	317	1	4
39	0	2	51	135	canyons51.jpg	canyons	B	154	231.005623	1	0.66074275970459	428	0	4
39	0	2	52	136	mountains20.jpg	mountains	X	156	234.005588	1	0.677751779556274	356	0	3
39	0	2	53	137	forests30.jpg	forests	X	160	240.005528	1	0.621817588806152	404	0	4
39	0	2	54	138	fields11.jpg	fields	X	163	244.505553	1	0.670934677124023	257	0	1
39	0	2	55	139	lighthouses15.jpg	lighthouses	A	165	247.522206	1	0.588309526443481	237	0	4
39	0	2	56	140	canyons52.jpg	canyons	B	167	250.505453	1	0.653021574020386	114	0	4
39	0	2	57	141	forests37.jpg	forests	X	171	256.505376	1	0.555084705352783	373	1	4
39	0	2	58	142	beaches26.jpg	beaches	X	173	259.505257	1	0.671208620071411	345	0	4
39	0	2	59	143	marshes16.jpg	marshes	A	176	264.005202	1	0.620249509811401	444	1	1
39	0	2	60	144	deserts19.jpg	deserts	B	178	267.005285	1	0.628269195556641	171	0	3
39	0	2	61	145	waterfalls37.jpg	waterfalls	A	180	270.00522	1	0.631319761276245	53	0	3
39	0	2	62	146	bridges53.jpg	bridges	B	184	276.005204	1	0.697409868240356	340	1	4
39	0	2	63	147	lakes38.jpg	lakes	X	186	279.005159	1	0.612465858459473	448	1	1
39	0	2	64	148	marshes20.jpg	marshes	A	188	282.005009	1	0.822574615478516	295	1	1
39	0	2	65	149	deserts37.jpg	deserts	B	191	286.504962	1	0.551598310470581	319	0	2
39	0	2	66	150	mountains6.jpg	mountains	X	195	292.521578	1	0.947055101394653	199	1	4
39	0	2	67	151	beaches18.jpg	beaches	X	198	297.004766	1	0.888795614242554	181	1	4
39	0	2	68	152	waterfalls45.jpg	waterfalls	A	200	300.004724	1	1.04984545707703	156	0	4
39	0	2	69	153	bridges23.jpg	bridges	B	203	304.504659	1	0.633917808532715	434	0	4
39	0	2	70	154	beaches33.jpg	beaches	X	206	309.004599	1	0.56201171875	80	1	4
39	0	2	71	155	forests21.jpg	forests	X	210	315.004522	1	0.557138681411743	242	1	1
39	0	2	72	156	parks23.jpg	parks	X	213	319.504445	1	0.588181734085083	146	0	1
39	0	2	73	157	lighthouses1.jpg	lighthouses	A	216	324.004449	1	0.543281078338623	306	0	2
39	0	2	74	158	canyons40.jpg	canyons	B	219	328.504352	1	0.582318544387817	117	0	1
39	0	2	75	159	beaches4.jpg	beaches	X	222	333.021114	1	0.625713109970093	113	1	4
39	0	2	76	160	mountains41.jpg	mountains	X	224	336.021133	1	0.760733366012573	17	1	4
39	0	2	77	161	waterfalls7.jpg	waterfalls	A	226	339.004203	1	0.836510419845581	174	0	3
39	0	2	78	162	bridges30.jpg	bridges	B	228	342.004354	1	0.726545810699463	334	0	2
39	0	2	79	163	beaches56.jpg	beaches	X	230	345.004115	1	0.676592588424683	3	0	4
39	0	2	80	164	marshes47.jpg	marshes	A	233	349.520856	1	0.536023139953613	329	1	4
39	0	2	81	165	deserts51.jpg	deserts	B	235	352.520805	1	0.559088706970215	339	0	4
39	0	2	82	166	waterfalls42.jpg	waterfalls	A	238	357.020736	1	0.506151914596558	304	0	1
39	0	2	83	167	bridges3.jpg	bridges	B	240	360.020676	1	0.561194896697998	408	0	4
39	0	3	0	168	fields54.jpg	fields	X	5	7.67836	1	0.655753374099731	69	1	1
39	0	3	1	169	mountains54.jpg	mountains	X	7	10.511187	1	0.740390539169312	25	1	1
39	0	3	2	170	parks49.jpg	parks	X	11	16.5111	1	0.674542665481567	16	1	3
39	0	3	3	171	fields2.jpg	fields	X	13	19.511068	1	0.656547546386719	401	0	4
39	0	3	4	172	forests44.jpg	forests	X	15	22.511029	1	0.561695575714111	297	0	1
39	0	3	5	173	marshes34.jpg	marshes	A	19	28.527719	1	1.20303273200989	368	0	1
39	0	3	6	174	deserts16.jpg	deserts	B	23	34.510862	1	0.560865640640259	399	0	1
39	0	3	7	175	lakes46.jpg	lakes	X	27	40.510777	1	0.742941856384277	252	0	4
39	0	3	8	176	marshes24.jpg	marshes	A	30	45.010716	1	0.491960763931274	411	0	1
39	0	3	9	177	deserts3.jpg	deserts	B	34	51.01069	1	0.514117002487183	263	0	4
39	0	3	10	178	waterfalls31.jpg	waterfalls	A	37	55.510583	1	0.470232725143433	148	0	1
39	0	3	11	179	bridges9.jpg	bridges	B	41	61.510549	1	0.832294225692749	286	1	1
39	0	3	12	180	mountains46.jpg	mountains	X	44	66.010461	1	0.817376613616943	71	1	4
39	0	3	13	181	marshes1.jpg	marshes	A	47	70.510418	1	0.646405220031738	458	1	4
