subid	trial	img	categ	cond	rep	answer	trialdur	acc	rt	resp	group	block	ITI
100	11	marshes31.jpg	marshes	X	30	no	0.999919	1	0.774322748184204	j	0	5	2
100	12	deserts13.jpg	deserts	X	28	no	1.000016	1	0.763435840606689	j	0	5	2
100	13	bridges8.jpg	bridges	B	28	yes	1.000032	1	0.638463735580444	k	0	5	2
100	14	beaches21.jpg	beaches	X	30	yes	1.000004	1	0.834515571594238	k	0	5	5
100	15	parks49.jpg	parks	A	29	yes	0.999957	1	0.651634693145752	k	0	5	2
100	16	forests43.jpg	forests	A	28	no	0.999885	1	0.699679613113403	j	0	5	3.5
100	17	fields48.jpg	fields	A	30	yes	1.000002	1	0.643784761428833	k	0	5	3.5
100	18	mountains16.jpg	mountains	B	28	no	1.000004	1	0.655866861343384	j	0	5	2
100	19	deserts27.jpg	deserts	X	29	no	1.000001	1	0.665872812271118	j	0	5	5
100	20	waterfalls36.jpg	waterfalls	X	29	no	1.000011	1	0.642915487289429	j	0	5	5
100	21	beaches13.jpg	beaches	X	31	yes	1.000002	1	0.563032865524292	k	0	5	2
100	22	mountains49.jpg	mountains	B	29	no	0.99989	1	0.801413774490356	j	0	5	3.5
100	23	parks33.jpg	parks	A	30	yes	0.999929	1	0.920184135437012	k	0	5	2
100	24	forests52.jpg	forests	A	29	no	1.000001	1	0.642207622528076	j	0	5	5
100	25	marshes8.jpg	marshes	X	31	no	0.999907	1	0.613653659820557	j	0	5	5
100	26	bridges48.jpg	bridges	B	29	yes	0.999845	1	0.74574089050293	k	0	5	3.5
100	27	mountains37.jpg	mountains	B	30	no	0.999986	1	0.711470603942871	j	0	5	5
100	28	lighthouses42.jpg	lighthouses	X	31	yes	0.999983	1	0.62458348274231	k	0	5	5
100	29	canyons43.jpg	canyons	B	28	no	0.999999	1	0.892675638198853	j	0	5	3.5
100	30	waterfalls52.jpg	waterfalls	X	30	no	1.000011	1	0.693742752075195	j	0	5	3.5
100	31	forests29.jpg	forests	A	30	no	1.000003	1	0.692830801010132	j	0	5	2
100	32	lighthouses39.jpg	lighthouses	X	32	yes	1	1	0.569872379302979	k	0	5	2
100	33	bridges43.jpg	bridges	B	30	yes	1.000016	1	0.780911684036255	k	0	5	3.5
100	34	mountains1.jpg	mountains	B	31	no	0.999988	1	0.737982511520386	j	0	5	2
100	35	canyons40.jpg	canyons	B	29	no	1.000005	1	0.64504861831665	j	0	5	2
100	36	parks45.jpg	parks	A	31	yes	1.000002	1	0.631105899810791	k	0	5	5
100	37	deserts14.jpg	deserts	X	30	no	0.999987	1	0.735202550888062	j	0	5	5
100	38	fields38.jpg	fields	A	31	yes	0.999914	1	0.80626654624939	k	0	5	3.5
100	39	parks21.jpg	parks	A	32	yes	0.99998	1	0.692413568496704	k	0	5	2
100	40	bridges25.jpg	bridges	B	31	yes	0.999854	1	0.724801540374756	k	0	5	3.5
100	41	canyons16.jpg	canyons	B	30	no	1.000015	1	0.760556936264038	j	0	5	2
100	42	forests3.jpg	forests	A	31	no	0.999997	1	0.901564598083496	j	0	5	2
100	43	fields42.jpg	fields	A	32	yes	1.000003	1	0.849617481231689	k	0	5	3.5
100	44	waterfalls42.jpg	waterfalls	X	31	no	1.000004	1	0.605678558349609	j	0	5	2
100	45	lakes34.jpg	lakes	X	28	yes	0.999903	1	0.666069507598877	k	0	5	2
