subID	trial	probed	truepair	foilpair	sideorder	cond	rt	resp	acc	left	right	group
39	5	bridges	waterfalls	lighthouses	1	B	3.01131796836853	j	1	lighthouses	waterfalls	0
39	6	bridges	waterfalls	lighthouses	0	B	2.5894501209259	f	1	waterfalls	lighthouses	0
39	7	waterfalls	bridges	deserts	1	A	4.16212105751038	j	1	deserts	bridges	0
39	8	deserts	marshes	waterfalls	1	B	2.78748488426208	j	1	waterfalls	marshes	0
39	9	lighthouses	canyons	bridges	1	A	1.69465613365173	f	0	bridges	canyons	0
39	10	canyons	lighthouses	marshes	0	B	4.12463212013245	j	0	lighthouses	marshes	0
39	11	marshes	deserts	canyons	0	A	3.33796906471252	j	0	deserts	canyons	0
40	0	parks	waterfalls	bridges	0	A	4.26603245735168	f	1	waterfalls	bridges	1
40	1	fields	canyons	waterfalls	0	A	3.39434933662415	j	0	canyons	waterfalls	1
40	2	bridges	beaches	parks	1	B	3.3655104637146	f	0	parks	beaches	1
40	3	beaches	bridges	canyons	1	A	2.5795156955719	j	1	canyons	bridges	1
40	4	waterfalls	parks	fields	0	B	1.49188876152039	j	0	parks	fields	1
40	5	canyons	fields	beaches	1	B	2.3241114616394	j	1	beaches	fields	1
40	6	beaches	bridges	canyons	1	A	2.28299474716187	j	1	canyons	bridges	1
40	7	fields	canyons	waterfalls	0	A	1.30883359909058	j	0	canyons	waterfalls	1
40	8	waterfalls	parks	fields	0	B	3.08328151702881	j	0	parks	fields	1
40	9	canyons	fields	beaches	1	B	2.58618378639221	f	0	beaches	fields	1
40	10	bridges	beaches	parks	0	B	0.975938320159912	j	0	beaches	parks	1
40	11	parks	waterfalls	bridges	1	A	1.7899227142334	j	1	bridges	waterfalls	1
41	0	beaches	fields	forests	1	A	3.25148797035217	j	1	forests	fields	0
41	1	forests	lakes	beaches	1	B	4.17343306541443	j	1	beaches	lakes	0
41	2	lakes	forests	deserts	0	A	2.21094012260437	j	0	forests	deserts	0
41	3	deserts	mountains	lakes	1	B	4.17583584785461	j	1	lakes	mountains	0
41	4	mountains	deserts	fields	0	A	4.16247797012329	j	0	deserts	fields	0
41	5	fields	beaches	mountains	1	B	3.89493489265442	j	1	mountains	beaches	0
41	6	forests	lakes	beaches	0	B	2.81561684608459	f	1	lakes	beaches	0
41	7	fields	beaches	mountains	1	B	-1.0465681552887	f	0	mountains	beaches	0
41	8	deserts	mountains	lakes	0	B	0.000680923461914062	j	0	mountains	lakes	0
41	9	lakes	forests	deserts	0	A	2.2757580280304	j	0	forests	deserts	0
41	10	mountains	deserts	fields	0	A	1.59397101402283	j	0	deserts	fields	0
41	11	beaches	fields	forests	1	A	0.882930040359497	f	0	forests	fields	0
42	0	mountains	parks	waterfalls	0	B	2.16313099861145	j	0	parks	waterfalls	1
42	1	canyons	deserts	lakes	1	A	2.25901699066162	j	1	lakes	deserts	1
42	2	parks	mountains	deserts	1	A	3.27888512611389	j	1	deserts	mountains	1
42	3	lakes	waterfalls	canyons	0	B	1.91163301467896	f	1	waterfalls	canyons	1
42	4	waterfalls	lakes	mountains	1	A	2.57713794708252	f	0	mountains	lakes	1
42	5	deserts	canyons	parks	0	B	2.72798490524292	j	0	canyons	parks	1
42	6	deserts	canyons	parks	1	B	1.84984803199768	j	1	parks	canyons	1
42	7	lakes	waterfalls	canyons	0	B	1.30522894859314	f	1	waterfalls	canyons	1
42	8	waterfalls	lakes	mountains	0	A	1.38792991638184	j	0	lakes	mountains	1
42	9	mountains	parks	waterfalls	0	B	1.69326996803284	j	0	parks	waterfalls	1
42	10	canyons	deserts	lakes	1	A	1.15308403968811	j	1	lakes	deserts	1
42	11	parks	mountains	deserts	1	A	1.18920803070068	f	0	deserts	mountains	1
43	0	beaches	lakes	lighthouses	1	B	3.55853295326233	f	0	lighthouses	lakes	1
43	1	marshes	deserts	lakes	1	B	4.77697587013245	f	0	lakes	deserts	1
43	2	lakes	beaches	marshes	1	A	3.63054490089417	j	1	marshes	beaches	1
43	3	forests	lighthouses	deserts	0	B	3.98163199424744	j	0	lighthouses	deserts	1
43	4	lighthouses	forests	beaches	0	A	2.4893000125885	j	0	forests	beaches	1
43	5	deserts	marshes	forests	1	A	-1.03986597061157	j	1	forests	marshes	1
43	6	marshes	deserts	lakes	0	B	1.49814486503601	f	1	deserts	lakes	1
43	7	forests	lighthouses	deserts	1	B	1.85410475730896	f	0	deserts	lighthouses	1
43	8	deserts	marshes	forests	0	A	1.57766103744507	j	0	marshes	forests	1
43	9	lakes	beaches	marshes	0	A	2.07399463653564	f	1	beaches	marshes	1
43	10	beaches	lakes	lighthouses	1	B	2.23397493362427	f	0	lighthouses	lakes	1
43	11	lighthouses	forests	beaches	0	A	0.959563970565796	j	0	forests	beaches	1
44	0	canyons	forests	parks	1	A	3.67215895652771	j	1	parks	forests	0
44	1	forests	canyons	lakes	1	B	1.98713779449463	f	0	lakes	canyons	0
44	2	parks	bridges	canyons	1	B	2.00708889961243	j	1	canyons	bridges	0
44	3	lakes	beaches	forests	1	A	1.41588997840881	f	0	forests	beaches	0
44	4	beaches	lakes	bridges	0	B	1.30687308311462	f	1	lakes	bridges	0
44	5	bridges	parks	beaches	0	A	1.27659702301025	f	1	parks	beaches	0
44	6	parks	bridges	canyons	1	B	0.977568864822388	j	1	canyons	bridges	0
44	7	beaches	lakes	bridges	0	B	1.26168870925903	f	1	lakes	bridges	0
44	8	lakes	beaches	forests	0	A	1.70659708976746	j	0	beaches	forests	0
44	9	canyons	forests	parks	1	A	1.53265786170959	j	1	parks	forests	0
44	10	bridges	parks	beaches	0	A	1.737389087677	f	1	parks	beaches	0
44	11	forests	canyons	lakes	0	B	1.36232590675354	f	1	canyons	lakes	0
45	0	deserts	waterfalls	parks	0	A	NaN	MISSING	NaN	waterfalls	parks	0
45	1	beaches	parks	lakes	1	A	2.29540109634399	f	0	lakes	parks	0
45	2	waterfalls	deserts	fields	0	B	3.2206768989563	f	1	deserts	fields	0
45	3	fields	lakes	waterfalls	0	A	2.76801490783691	f	1	lakes	waterfalls	0
45	4	lakes	fields	beaches	1	B	1.59978580474854	f	0	beaches	fields	0
45	5	parks	beaches	deserts	0	B	3.90190100669861	j	0	beaches	deserts	0
45	6	beaches	parks	lakes	1	A	2.8457658290863	f	0	lakes	parks	0
45	7	fields	lakes	waterfalls	1	A	3.06026411056519	j	1	waterfalls	lakes	0
45	8	waterfalls	deserts	fields	0	B	2.0313549041748	j	0	deserts	fields	0
45	9	parks	beaches	deserts	0	B	2.78444814682007	j	0	beaches	deserts	0
45	10	lakes	fields	beaches	1	B	3.04985189437866	f	0	beaches	fields	0
45	11	deserts	waterfalls	parks	1	A	2.66645097732544	f	0	parks	waterfalls	0
46	0	lighthouses	parks	forests	0	B	2.27837085723877	f	1	parks	forests	1
46	1	mountains	fields	marshes	1	A	3.11777091026306	j	1	marshes	fields	1
46	2	forests	marshes	lighthouses	1	A	2.55316877365112	j	1	lighthouses	marshes	1
46	3	marshes	forests	mountains	0	B	2.59419178962708	f	1	forests	mountains	1
46	4	parks	lighthouses	fields	0	A	1.94312310218811	f	1	lighthouses	fields	1
46	5	fields	mountains	parks	0	B	1.8528687953949	j	0	mountains	parks	1
46	6	lighthouses	parks	forests	1	B	1.20001697540283	j	1	forests	parks	1
46	7	forests	marshes	lighthouses	1	A	1.61972188949585	j	1	lighthouses	marshes	1
46	8	fields	mountains	parks	0	B	1.86826705932617	f	1	mountains	parks	1
46	9	parks	lighthouses	fields	0	A	1.93797016143799	f	1	lighthouses	fields	1
46	10	marshes	forests	mountains	1	B	1.04406189918518	j	1	mountains	forests	1
46	11	mountains	fields	marshes	1	A	2.00318789482117	f	0	marshes	fields	1
47	0	forests	marshes	waterfalls	1	A	3.05715608596802	j	1	waterfalls	marshes	1
47	1	waterfalls	mountains	forests	1	B	2.3217990398407	j	1	forests	mountains	1
47	2	mountains	waterfalls	lighthouses	0	A	2.66703486442566	f	1	waterfalls	lighthouses	1
47	3	fields	lighthouses	marshes	0	A	1.53374695777893	f	1	lighthouses	marshes	1
47	4	marshes	forests	fields	0	B	1.66146802902222	f	1	forests	fields	1
47	5	lighthouses	fields	mountains	1	B	1.66598081588745	f	0	mountains	fields	1
47	6	forests	marshes	waterfalls	1	A	1.97750902175903	j	1	waterfalls	marshes	1
47	7	lighthouses	fields	mountains	1	B	2.20846009254456	j	1	mountains	fields	1
47	8	marshes	forests	fields	0	B	1.11627292633057	f	1	forests	fields	1
47	9	fields	lighthouses	marshes	1	A	2.83700609207153	j	1	marshes	lighthouses	1
47	10	waterfalls	mountains	forests	0	B	1.37331509590149	f	1	mountains	forests	1
47	11	mountains	waterfalls	lighthouses	0	A	1.86154222488403	f	1	waterfalls	lighthouses	1
48	0	lighthouses	canyons	bridges	1	B	4.09197592735291	f	0	bridges	canyons	0
48	1	fields	bridges	forests	1	B	3.66886496543884	f	0	forests	bridges	0
48	2	mountains	forests	canyons	0	B	3.3917031288147	j	0	forests	canyons	0
48	3	canyons	lighthouses	mountains	0	A	3.51748704910278	j	0	lighthouses	mountains	0
48	4	bridges	fields	lighthouses	1	A	2.95630884170532	j	1	lighthouses	fields	0
48	5	forests	mountains	fields	0	A	2.63190412521362	j	0	mountains	fields	0
48	6	mountains	forests	canyons	1	B	3.19293808937073	f	0	canyons	forests	0
48	7	fields	bridges	forests	1	B	4.54650688171387	j	1	forests	bridges	0
48	8	forests	mountains	fields	0	A	-1.04688215255737	j	0	mountains	fields	0
48	9	bridges	fields	lighthouses	1	A	2.57928586006165	f	0	lighthouses	fields	0
48	10	lighthouses	canyons	bridges	0	B	2.54117488861084	j	0	canyons	bridges	0
48	11	canyons	lighthouses	mountains	0	A	1.99398469924927	j	0	lighthouses	mountains	0
49	0	waterfalls	deserts	lakes	0	A	3.72762250900269	f	1	deserts	lakes	0
49	1	parks	beaches	fields	1	B	3.19738578796387	f	0	fields	beaches	0
49	2	deserts	waterfalls	beaches	0	B	2.01444387435913	f	1	waterfalls	beaches	0
49	3	fields	lakes	parks	1	A	1.9277880191803	j	1	parks	lakes	0
49	4	beaches	parks	deserts	1	A	2.63693809509277	f	0	deserts	parks	0
49	5	lakes	fields	waterfalls	0	B	3.12941813468933	f	1	fields	waterfalls	0
49	6	lakes	fields	waterfalls	0	B	1.57819390296936	f	1	fields	waterfalls	0
49	7	waterfalls	deserts	lakes	0	A	3.28504800796509	j	0	deserts	lakes	0
49	8	fields	lakes	parks	1	A	2.17913293838501	f	0	parks	lakes	0
49	9	beaches	parks	deserts	0	A	1.16645288467407	j	0	parks	deserts	0
49	10	deserts	waterfalls	beaches	1	B	1.33294892311096	f	0	beaches	waterfalls	0
49	11	parks	beaches	fields	1	B	1.97695708274841	f	0	fields	beaches	0
50	0	bridges	lighthouses	canyons	1	B	1.89021897315979	j	1	canyons	lighthouses	1
50	1	parks	waterfalls	lighthouses	0	B	1.82613801956177	f	1	waterfalls	lighthouses	1
50	2	deserts	canyons	waterfalls	1	B	1.57987689971924	j	1	waterfalls	canyons	1
50	3	lighthouses	bridges	parks	0	A	2.11517381668091	f	1	bridges	parks	1
50	4	canyons	deserts	bridges	0	A	2.97725892066956	f	1	deserts	bridges	1
50	5	waterfalls	parks	deserts	0	A	2.36573910713196	j	0	parks	deserts	1
50	6	deserts	canyons	waterfalls	0	B	2.56395816802979	f	1	canyons	waterfalls	1
50	7	waterfalls	parks	deserts	0	A	2.60868692398071	f	1	parks	deserts	1
50	8	bridges	lighthouses	canyons	1	B	2.48996806144714	j	1	canyons	lighthouses	1
50	9	lighthouses	bridges	parks	1	A	2.61964106559753	j	1	parks	bridges	1
50	10	canyons	deserts	bridges	1	A	2.52201581001282	j	1	bridges	deserts	1
